,
Interview form,https://forms.gle/AjD7pHKK6kzzX2Xf8
,
Interviewer Name,Paycee A.
Date of interview,9-28-2025
,
Investor Name,Jamie
What did the start of your investing journey look like?,Started later than wished but regularly investing now. 
What made you want to get into investing?,To save for retirement
How do you invest?,"Through work, banking, and a financial advisor."
What do you wish you knew when you started investing?,"Wish stocks were easier to understand, specifically the taxes related to them."
How do you research investment opportunities?,"Online, CDs and rates specifically. "
"If you were starting from the beginning, what would you have done differently?",Would have started investing at a younger age.
What do you want to know/learn more about now?,n/a
What are some struggles you have with investing?,"Not knowing, but that is why they hired an advisor."
What is your favorite method o learn about investing? What do you like about it?,n/a
What is your favorite method to learn about investments? What do you like about it?,Financial advisor
What are your financial goals for investing?,To have money grow and save for retirement
What steps have you taken to reach these goals?,Investing in multiple accounts and saving money reguarly
What steps do you plan to take to continue pursuing these goals?,The same as now
What are the top three things you look for in a company when investing?,n/a
What is adivce you woul give to a new investor?,"Invest early. Set aside an amount to invest right away when starting your first career. It will never really be seen as a ""loss"" from the paycheck/bank account and will be very beneficial in the future. "
What would you want from a generic AI chatbot? (not just financial),To be sufficient. They are quicker than waiting on hold for a representative/support. 
What about a finance AI chatbot specifically?,n/a
What are some concerns you have with AI?,AI taking over jobs and ruining society - people becoming lazy and social skill depleting over less physical work. Spam calls with the voice analyzation and reforming is scary as well. 
What questions might you ask the OpenFinAL bot?,Show me current rates for CDs. 
(Any additional notes or questions can go here),
